episode,reward,steps,loss
1,-500.0,500,4.445379012236606
2,-500.0,500,6.705242623329163
3,-500.0,500,6.405496578216553
4,-500.0,500,6.466206005334854
5,-500.0,500,6.153628782391548
6,-500.0,500,6.795994413495063
7,-500.0,500,4.939643300294876
8,-500.0,500,5.240064350366592
9,-500.0,500,5.855835059523582
10,-500.0,500,6.159141594529152
11,-500.0,500,5.474672859549522
12,-500.0,500,5.549026722550392
13,-500.0,500,5.073439846515655
14,-500.0,500,5.511751352906227
15,-500.0,500,6.594119255065918
16,-500.0,500,5.158421963751316
17,-500.0,500,6.1674479659795765
18,-500.0,500,6.278650247573853
19,-500.0,500,6.005177580595016
20,-500.0,500,5.701116869091988
21,-500.0,500,5.914322801709175
22,-500.0,500,5.845888055443764
23,-500.0,500,6.588686309933663
24,-500.0,500,6.461949783921241
25,-500.0,500,6.530588979125023
26,-479.0,480,6.617084371298551
27,-500.0,500,6.219214257478714
28,-441.0,442,5.581871328175877
29,-500.0,500,5.494911991477013
30,-499.0,500,5.891474898934364
31,-500.0,500,6.135054243922234
32,-500.0,500,6.553719211816787
33,-500.0,500,4.959325895190239
34,-500.0,500,7.144279811859131
35,-249.0,250,5.845329731464386
36,-500.0,500,6.064948283195496
37,-500.0,500,5.973759783387184
38,-500.0,500,5.706934542536736
39,-500.0,500,5.094005633950234
40,-500.0,500,4.959429079771042
41,-414.0,415,4.73113181389958
42,-451.0,452,4.996199407804329
43,-500.0,500,5.178850940585137
44,-489.0,490,5.142598843452882
45,-500.0,500,5.491321698427201
46,-375.0,376,5.48862503080609
47,-344.0,345,4.04683337557143
48,-500.0,500,4.390869971632958
49,-481.0,482,4.534794888432095
50,-294.0,295,3.8388838153774456
51,-449.0,450,4.619552303552627
52,-235.0,236,5.406540405699762
53,-321.0,322,4.948964207438949
54,-308.0,309,4.345026382929299
55,-260.0,261,5.776058258453092
56,-218.0,219,5.324597492609938
57,-321.0,322,4.46297071661268
58,-237.0,238,3.7914208263910116
59,-245.0,246,4.000323233081073
60,-313.0,314,3.9536560880150766
61,-346.0,347,3.4002492953446137
62,-318.0,319,5.110216752862482
63,-468.0,469,5.095523204884803
64,-271.0,272,5.158822121865609
65,-421.0,422,4.676370395303337
66,-324.0,325,5.286398526705228
67,-476.0,477,3.7162928844897753
68,-205.0,206,2.504463084403751
69,-305.0,306,3.270321641872132
70,-140.0,141,3.3618649599399975
71,-412.0,413,4.070967751900163
72,-321.0,322,4.04027981010283
73,-300.0,301,3.733887543313923
74,-258.0,259,3.660918202179279
75,-220.0,221,3.3684840822651374
76,-216.0,217,3.47768953154164
77,-298.0,299,3.4116406065963183
78,-262.0,263,2.585896546849733
79,-489.0,490,4.041739479254703
80,-271.0,272,3.1737766958334865
81,-337.0,338,3.627109582960253
82,-500.0,500,3.2081688268184663
83,-228.0,229,3.655928605508596
84,-256.0,257,3.2749058569451712
85,-271.0,272,2.725775551489171
86,-316.0,317,2.59127142940786
87,-186.0,187,2.5820335924306654
88,-234.0,235,2.2755733997263805
89,-300.0,301,1.8175146381720355
90,-183.0,184,2.224773402447286
91,-323.0,324,2.7093495503987794
92,-281.0,282,2.702704414830986
93,-181.0,182,2.7564417176194245
94,-201.0,202,3.237529492024148
95,-313.0,314,2.9849385266091413
96,-243.0,244,2.9404520206764095
97,-164.0,165,2.811937510244774
98,-141.0,142,2.754698187532559
99,-204.0,205,2.7991582463427287
100,-202.0,203,3.2011291117503724
101,-228.0,229,3.259135788705151
102,-180.0,181,4.008717463490712
103,-280.0,281,4.81718600475067
104,-187.0,188,2.858655033276436
105,-184.0,185,3.1396749644666104
106,-298.0,299,2.2446821904102694
107,-183.0,184,2.2988711618210957
108,-270.0,271,2.928898369254221
109,-284.0,285,3.5510189474674694
110,-183.0,184,3.7304025036485298
111,-158.0,159,4.253845441266426
112,-208.0,209,4.1180643561924475
113,-197.0,198,3.7475606630546876
114,-140.0,141,2.773087443189418
115,-167.0,168,2.1634486452454613
116,-137.0,138,1.9850886464118958
117,-246.0,247,1.6769986200911795
118,-133.0,134,2.2543166524438716
119,-182.0,183,2.7278043644024375
120,-197.0,198,3.798763253472068
121,-364.0,365,3.2162985512655076
122,-240.0,241,2.681321009313417
123,-269.0,270,3.3218326144748263
124,-124.0,125,3.7212199783325195
125,-180.0,181,3.8275411155342396
126,-185.0,186,3.1768758873785696
127,-213.0,214,2.729204868323335
128,-178.0,179,2.777990181685826
129,-272.0,273,3.5265208028611683
130,-192.0,193,2.6988873877055903
131,-229.0,230,3.1930871922036874
132,-211.0,212,2.918373760187401
133,-228.0,229,3.125108046302629
134,-235.0,236,2.99760767539679
135,-129.0,130,3.4236667623886694
136,-197.0,198,3.312230239913921
137,-175.0,176,3.274588646197861
138,-132.0,133,2.795540067486297
139,-115.0,116,2.556879887806958
140,-216.0,217,3.1489111498204245
141,-223.0,224,2.8763504419475794
142,-192.0,193,2.3735156655311584
143,-197.0,198,3.229636014711977
144,-126.0,127,4.546011569931752
145,-248.0,249,4.780996375773326
146,-202.0,203,3.429648224943377
147,-147.0,148,3.147565269792402
148,-143.0,144,2.7024922370910645
149,-187.0,188,3.3265773333767625
150,-339.0,340,3.5656698987764472
151,-190.0,191,3.709848326538246
152,-181.0,182,3.117230888906416
153,-249.0,250,3.865634204864502
154,-196.0,197,2.1561715518157496
155,-115.0,116,1.7708994545813264
156,-178.0,179,1.3033945562120257
157,-153.0,154,1.4697202111219432
158,-169.0,170,1.674236441710416
159,-159.0,160,1.8626473274081945
160,-136.0,137,2.958063931360732
161,-118.0,119,3.123939474089807
162,-212.0,213,2.7759213125761684
163,-151.0,152,2.8558388222989284
164,-223.0,224,3.9594585485756397
165,-342.0,343,3.5332646493313957
166,-179.0,180,2.658655904730161
167,-206.0,207,2.986017822931354
168,-186.0,187,2.36826739209221
169,-175.0,176,2.5508715005760845
170,-156.0,157,2.9011352301403215
171,-194.0,195,2.9415288109045763
172,-177.0,178,3.0039054784881936
