episode,reward,steps,loss
1,-500.0,500,3.2712949541668053
2,-500.0,500,3.7980562653541563
3,-500.0,500,4.494494471788406
4,-401.0,402,5.735994624261239
5,-500.0,500,5.348079770326614
6,-500.0,500,5.898342008590698
7,-500.0,500,6.343476510047912
8,-500.0,500,6.726328521132469
9,-500.0,500,5.915870204567909
10,-500.0,500,6.355623725652695
11,-500.0,500,5.70559492623806
12,-500.0,500,5.0153375378847125
13,-500.0,500,5.723517638862133
14,-500.0,500,4.833989527344704
15,-500.0,500,5.3322392826080325
16,-356.0,357,4.926641136574812
17,-500.0,500,5.637692797541618
18,-299.0,300,5.335316484173139
19,-500.0,500,5.539630482196808
20,-454.0,455,6.303502723083391
21,-500.0,500,5.434623489141464
22,-397.0,398,4.734346047867483
23,-500.0,500,5.61068544626236
24,-500.0,500,5.362169721245766
25,-391.0,392,4.765153485293291
26,-304.0,305,4.844687041493713
27,-372.0,373,3.9494547971771485
28,-500.0,500,3.601244579672813
29,-390.0,391,4.523728381489854
30,-232.0,233,4.333110804721521
31,-335.0,336,4.4461828117214495
32,-335.0,336,3.895958031926836
33,-500.0,500,4.095119305729866
34,-355.0,356,4.170558244408516
35,-316.0,317,4.337804283065375
36,-347.0,348,4.970550238058485
37,-335.0,336,4.405193124321245
38,-424.0,425,4.733301655965693
39,-244.0,245,4.168398988490202
40,-203.0,204,3.721949774844974
41,-206.0,207,5.225353846227489
42,-250.0,251,4.382302824007088
43,-274.0,275,3.9324501601132478
44,-236.0,237,3.09658695449306
45,-217.0,218,2.8144429531119286
46,-271.0,272,3.378436983727357
47,-267.0,268,2.710481784236965
48,-177.0,178,2.883781896548325
49,-207.0,208,3.1043968020150294
50,-219.0,220,3.2142147836360064
51,-148.0,149,2.70261765486442
52,-321.0,322,2.6690273112762046
53,-400.0,401,3.694703195977984
54,-226.0,227,4.939401959007532
55,-348.0,349,2.8651967916242715
56,-295.0,296,3.4487162631105734
57,-280.0,281,4.349556086326409
58,-272.0,273,3.800138539010352
59,-212.0,213,3.270742353419183
60,-144.0,145,3.3709420927639666
61,-272.0,273,2.3804835033067415
62,-133.0,134,2.72542471093918
63,-184.0,185,2.924063785011704
64,-241.0,242,3.9968291208271154
65,-177.0,178,3.3027844248193032
66,-220.0,221,3.134391228807458
67,-372.0,373,3.0283376202187013
68,-169.0,170,3.0952617831089917
69,-209.0,210,3.15095906882059
70,-156.0,157,2.2968755785826667
71,-218.0,219,2.3993179719197695
72,-207.0,208,3.0095630136246863
73,-184.0,185,3.273660051500475
74,-155.0,156,3.785444703239661
75,-250.0,251,3.3555928316724253
76,-152.0,153,3.2192814755283927
77,-228.0,229,2.9665530542619365
78,-129.0,130,2.9346134616778445
79,-194.0,195,3.7675810651901442
80,-197.0,198,3.341833035753231
81,-206.0,207,3.1472616823399124
82,-175.0,176,3.4813942753455858
83,-121.0,122,3.144499716211538
84,-190.0,191,3.2728477441827666
85,-311.0,312,2.552735109550831
86,-149.0,150,2.795268241564433
87,-203.0,204,2.614443532099911
88,-96.0,97,3.3847379536972833
89,-146.0,147,3.36058226248034
90,-179.0,180,3.399065462417073
91,-231.0,232,2.6468679355136278
92,-167.0,168,2.865981159820443
93,-130.0,131,2.085585958630074
94,-149.0,150,2.788003715276718
